#This is a simple dump of all loaded liquids, in raw form, with their block names (in brackets) and their localized names, in the format of:

#FLUIDID 										  (FLUIDBLOCK)																	   = FLUIDLOCALIZEDNAME

#ANY AND ALL CHANGES TO THIS FILE WILL BE REPLACED WHEN THIS FILE IS REGENERATED NEXT TIME THE GAME IS RUN. THIS IS FOR INFORMATIONAL PURPOSES ONLY AND IS NOT A CONFIG FILE!

water                                             (minecraft:water)                                                                = Water
lava                                              (minecraft:lava)                                                                 = Lava
iron                                              (tconstruct:molten_iron)                                                         = Molten Iron
gold                                              (tconstruct:molten_gold)                                                         = Molten Gold
pigiron                                           (tconstruct:molten_pigiron)                                                      = Molten Pigiron
cobalt                                            (tconstruct:molten_cobalt)                                                       = Molten Cobalt
ardite                                            (tconstruct:molten_ardite)                                                       = Molten Ardite
manyullyn                                         (tconstruct:molten_manyullyn)                                                    = Molten Manyullyn
knightslime                                       (tconstruct:molten_knightslime)                                                  = Molten Knightslime
alubrass                                          (tconstruct:molten_alubrass)                                                     = Molten Aluminum Brass
brass                                             (tconstruct:molten_brass)                                                        = Molten Brass
copper                                            (tconstruct:molten_copper)                                                       = Molten Copper
tin                                               (tconstruct:molten_tin)                                                          = Molten Tin
bronze                                            (tconstruct:molten_bronze)                                                       = Molten Bronze
zinc                                              (tconstruct:molten_zinc)                                                         = Molten Zinc
lead                                              (tconstruct:molten_lead)                                                         = Molten Lead
nickel                                            (tconstruct:molten_nickel)                                                       = Molten Nickel
silver                                            (tconstruct:molten_silver)                                                       = Molten Silver
electrum                                          (tconstruct:molten_electrum)                                                     = Molten Electrum
steel                                             (tconstruct:molten_steel)                                                        = Molten Steel
aluminum                                          (tconstruct:molten_aluminum)                                                     = Molten Aluminum
sand                                              (biomesoplenty:sand)                                                             = Quicksand
honey                                             (biomesoplenty:honey)                                                            = Honey
blood                                             (biomesoplenty:blood)                                                            = Blood
poison                                            (biomesoplenty:poison)                                                           = Poison
hot_spring_water                                  (biomesoplenty:hot_spring_water)                                                 = Hot Spring Water
springwater                                       (byg:springwater)                                                                = Springwater
purified_water                                    (toughasnails:purified_water)                                                    = Purified Water
steam                                             ([no block])                                                                     = Steam
hotsteam                                          ([no block])                                                                     = Dense Steam
superhotsteam                                     ([no block])                                                                     = Super Dense Steam
ultrahotsteam                                     ([no block])                                                                     = Ultra Dense Steam
coolant                                           ([no block])                                                                     = Coolant
deuterium                                         ([no block])                                                                     = Deuterium
tritium                                           ([no block])                                                                     = Tritium
oil                                               ([no block])                                                                     = Crude Oil
hotoil                                            ([no block])                                                                     = Hot Crude Oil
heavyoil                                          ([no block])                                                                     = Heavy Oil
bitumen                                           ([no block])                                                                     = Bitumen
smear                                             ([no block])                                                                     = Industrial Oil
heatingoil                                        ([no block])                                                                     = Heating Oil
reclaimed                                         ([no block])                                                                     = Reclaimed Industrial Oil
petroil                                           ([no block])                                                                     = Petroil
lubricant                                         ([no block])                                                                     = Engine Lubricant
naphtha                                           ([no block])                                                                     = Naphtha
diesel                                            ([no block])                                                                     = Diesel
lightoil                                          ([no block])                                                                     = Light Oil
kerosene                                          ([no block])                                                                     = Kerosene
gas                                               ([no block])                                                                     = Natural Gas
petroleum                                         ([no block])                                                                     = Petroleum Gas
biogas                                            ([no block])                                                                     = Biogas
biofuel                                           ([no block])                                                                     = Biofuel
nitan                                             ([no block])                                                                     = NITAN© 100 Octane Super Fuel
uf6                                               ([no block])                                                                     = Uranium Hexafluoride
puf6                                              ([no block])                                                                     = Plutonium Hexafluoride
sas3                                              ([no block])                                                                     = Schrabidium Trisulfide
amat                                              ([no block])                                                                     = Antimatter
aschrab                                           ([no block])                                                                     = Antischrabidium
acid                                              ([no block])                                                                     = Hydrogen Peroxide
watz                                              ([no block])                                                                     = Poisonous Mud
cryogel                                           ([no block])                                                                     = Cryogel
hydrogen                                          (advancedrocketry:hydrogenfluid)                                                 = Liquid Hydrogen
oxygen                                            (advancedrocketry:oxygenfluid)                                                   = Liquid Oxygen
xenon                                             ([no block])                                                                     = Xenon Gas
balefire                                          ([no block])                                                                     = BF Rocket Fuel
mercury                                           ([no block])                                                                     = Mercury
plasma_dt                                         ([no block])                                                                     = Deuterium-Tritium Plasma
plasma_hd                                         ([no block])                                                                     = Hydrogen-Deuterium Plasma
plasma_ht                                         ([no block])                                                                     = Hydrogen-Tritium Plasma
plasma_xm                                         ([no block])                                                                     = Xenon-Mercury Plasma
plasma_bf                                         ([no block])                                                                     = Balefire Plasma
pain                                              ([no block])                                                                     = Pandemonium(III)tantalite Solution
wastefluid                                        ([no block])                                                                     = Liquid Nuclear Waste
wastegas                                          ([no block])                                                                     = Gaseous Nuclear Waste
gasoline                                          ([no block])                                                                     = Leaded Gasoline
spentsteam                                        ([no block])                                                                     = Low-Pressure Steam
toxic_fluid                                       (hbm:toxic_block)                                                                = Stereotypical Green Ooze
radwater_fluid                                    (hbm:radwater_block)                                                             = Radiated Water
mud_fluid                                         (hbm:mud_block)                                                                  = Poisonous Mud
schrabidic                                        (hbm:schrabidic_block)                                                           = Schrabidic Acid
corium_fluid                                      (hbm:corium_block)                                                               = Corium
volcanic_lava_fluid                               (hbm:volcanic_lava_block)                                                        = Volcanic Lava
enderium                                          (tconstruct:molten_enderium)                                                     = Molten Enderium
platinum                                          (tconstruct:molten_platinum)                                                     = Molten Platinum
iridium                                           (tconstruct:molten_iridium)                                                      = Molten Iridium
mithril                                           (tconstruct:molten_mithril)                                                      = Molten Mithril
signalum                                          (tconstruct:molten_signalum)                                                     = Molten Signalum
lumium                                            (tconstruct:molten_lumium)                                                       = Molten Lumium
constantan                                        (tconstruct:molten_constantan)                                                   = Molten Constantan
invar                                             (tconstruct:molten_invar)                                                        = Molten Invar
refinedobsidian                                   (tconstruct:molten_refinedobsidian)                                              = Molten Refined Obsidian
refinedglowstone                                  (tconstruct:molten_refinedglowstone)                                             = Molten Refined Glowstone
osmium                                            (tconstruct:molten_osmium)                                                       = Molten Osmium
manasteel                                         (tconstruct:molten_manasteel)                                                    = Molten Manasteel
terrasteel                                        (tconstruct:molten_terrasteel)                                                   = Molten Terrasteel
elvenelementium                                   (tconstruct:molten_elvenelementium)                                              = Molten Elementium
gaia                                              ([no block])                                                                     = Molten Gaia Spirit
yellorium                                         (tconstruct:molten_yellorium)                                                    = Molten Yellorium
cyanite                                           (tconstruct:molten_cyanite)                                                      = Molten Cyanite
blutonium                                         (tconstruct:molten_blutonium)                                                    = Molten Blutonium
ludicrite                                         (tconstruct:molten_ludicrite)                                                    = Molten Ludicrite
psi                                               (tconstruct:molten_psi)                                                          = Molten Psimetal
ivorypsi                                          (tconstruct:molten_ivorypsi)                                                     = Molten Ivory Psimetal
ebonypsi                                          (tconstruct:molten_ebonypsi)                                                     = Molten Ebony Psimetal
electrumflux                                      (tconstruct:molten_electrumflux)                                                 = Molten Fluxed Electrum
refinediron                                       (tconstruct:molten_refinediron)                                                  = Molten Refined Iron
tungsten                                          (tconstruct:molten_tungsten)                                                     = Molten Tungsten
titanium                                          (tconstruct:molten_titanium)                                                     = Molten Titanium
chrome                                            (tconstruct:molten_chrome)                                                       = Molten Chrome
advancedalloy                                     (tconstruct:molten_advancedalloy)                                                = Molten Advanced Alloy
basalt_fluid                                      (taiga:molten_basalt_fluid)                                                      = Basalt Fluid
tiberium_fluid                                    (taiga:molten_tiberium_fluid)                                                    = Tiberium Fluid
aurorium_fluid                                    (taiga:molten_aurorium_fluid)                                                    = Aurorium Fluid
prometheum_fluid                                  (taiga:molten_prometheum_fluid)                                                  = Prometheum Fluid
duranite_fluid                                    (taiga:molten_duranite_fluid)                                                    = Duranite Fluid
valyrium_fluid                                    (taiga:molten_valyrium_fluid)                                                    = Valyrium Fluid
vibranium_fluid                                   (taiga:molten_vibranium_fluid)                                                   = Vibranium Fluid
karmesine_fluid                                   (taiga:molten_karmesine_fluid)                                                   = Karmesine Fluid
jauxum_fluid                                      (taiga:molten_jauxum_fluid)                                                      = Jauxum Fluid
ovium_fluid                                       (taiga:molten_ovium_fluid)                                                       = Ovium Fluid
terrax_fluid                                      (taiga:molten_terrax_fluid)                                                      = Terrax Fluid
palladium_fluid                                   (taiga:molten_palladium_fluid)                                                   = Palladium Fluid
uru_fluid                                         (taiga:molten_uru_fluid)                                                         = Uru Fluid
osram_fluid                                       (taiga:molten_osram_fluid)                                                       = Osram Fluid
abyssum_fluid                                     (taiga:molten_abyssum_fluid)                                                     = Abyssum Fluid
eezo_fluid                                        (taiga:molten_eezo_fluid)                                                        = Eezo Fluid
triberium_fluid                                   (taiga:molten_triberium_fluid)                                                   = Triberium Fluid
fractum_fluid                                     (taiga:molten_fractum_fluid)                                                     = Fractum Fluid
violium_fluid                                     (taiga:molten_violium_fluid)                                                     = Violium Fluid
proxii_fluid                                      (taiga:molten_proxii_fluid)                                                      = Proxii Fluid
tritonite_fluid                                   (taiga:molten_tritonite_fluid)                                                   = Tritonite Fluid
ignitz_fluid                                      (taiga:molten_ignitz_fluid)                                                      = Ignitz Fluid
imperomite_fluid                                  (taiga:molten_imperomite_fluid)                                                  = Imperomite Fluid
solarium_fluid                                    (taiga:molten_solarium_fluid)                                                    = Solarium Fluid
nihilite_fluid                                    (taiga:molten_nihilite_fluid)                                                    = Nihilite Fluid
adamant_fluid                                     (taiga:molten_adamant_fluid)                                                     = Adamant Fluid
dyonite_fluid                                     (taiga:molten_dyonite_fluid)                                                     = Dyonite Fluid
nucleum_fluid                                     (taiga:molten_nucleum_fluid)                                                     = Nucleum Fluid
lumix_fluid                                       (taiga:molten_lumix_fluid)                                                       = Lumix Fluid
seismum_fluid                                     (taiga:molten_seismum_fluid)                                                     = Seismum Fluid
astrium_fluid                                     (taiga:molten_astrium_fluid)                                                     = Astrium Fluid
niob_fluid                                        (taiga:molten_niob_fluid)                                                        = Niob Fluid
yrdeen_fluid                                      (taiga:molten_yrdeen_fluid)                                                      = Yrdeen Fluid
iox_fluid                                         (taiga:molten_iox_fluid)                                                         = Iox Fluid
meteorite_fluid                                   (taiga:molten_meteorite_fluid)                                                   = Meteorite Fluid
obsidiorite_fluid                                 (taiga:molten_obsidiorite_fluid)                                                 = Obsidiorite Fluid
magma_fluid                                       (taiga:molten_magma_fluid)                                                       = Magma Fluid
nitronite_fluid                                   (taiga:molten_nitronite_fluid)                                                   = Nitronite Fluid
dilithium_fluid                                   (taiga:molten_dilithium_fluid)                                                   = Dilithium Fluid
creosote                                          ([no block])                                                                     = Creosote Oil
coal                                              ([no block])                                                                     = Liquifacted Coal
crude_oil                                         (thermalfoundation:fluid_crude_oil)                                              = Crude Oil
refined_oil                                       ([no block])                                                                     = Naphtha
refined_fuel                                      ([no block])                                                                     = Refined Fuel
sap                                               ([no block])                                                                     = Sap
syrup                                             ([no block])                                                                     = Syrup
resin                                             ([no block])                                                                     = Resin
tree_oil                                          ([no block])                                                                     = Tree Oil
seed_oil                                          ([no block])                                                                     = Seed Oil
biocrude                                          ([no block])                                                                     = Biocrude
refined_biofuel                                   ([no block])                                                                     = Grassoline
mushroom_stew                                     ([no block])                                                                     = Mushroom Stew
experience                                        ([no block])                                                                     = Essence of Knowledge
potion                                            ([no block])                                                                     = Potion
potion_splash                                     ([no block])                                                                     = Splash Potion
potion_lingering                                  ([no block])                                                                     = Lingering Potion
redstone                                          (thermalfoundation:fluid_redstone)                                               = Destabilized Redstone
glowstone                                         (thermalfoundation:fluid_glowstone)                                              = Energized Glowstone
ender                                             (thermalfoundation:fluid_ender)                                                  = Resonant Ender
pyrotheum                                         (thermalfoundation:fluid_pyrotheum)                                              = Blazing Pyrotheum
cryotheum                                         (thermalfoundation:fluid_cryotheum)                                              = Gelid Cryotheum
aerotheum                                         (thermalfoundation:fluid_aerotheum)                                              = Zephyrean Aerotheum
petrotheum                                        (thermalfoundation:fluid_petrotheum)                                             = Tectonic Petrotheum
mana                                              (thermalfoundation:fluid_mana)                                                   = Primal Mana
amethyst                                          ([no block])                                                                     = Molten Amethyst
ruby                                              ([no block])                                                                     = Molten Ruby
sapphire                                          ([no block])                                                                     = Molten Sapphire
peridot                                           ([no block])                                                                     = Molten Peridot
thaumium                                          ([no block])                                                                     = Molten Thaumium
kovar                                             ([no block])                                                                     = Molten Kovar
lavium                                            ([no block])                                                                     = Molten Lavium
qivium                                            ([no block])                                                                     = Molten Qivium
chocolate_liquor                                  (tcomplement:liquid_chocolate_liquor)                                            = Chocolate Liquor
milk_chocolate                                    (tcomplement:liquid_milk_chocolate)                                              = Milk Chocolate
dark_chocolate                                    (tcomplement:liquid_dark_chocolate)                                              = Dark Chocolate
milk                                              ([no block])                                                                     = Milk
nitrogen                                          (advancedrocketry:nitrogenfluid)                                                 = Nitrogen
rocketfuel                                        (advancedrocketry:rocketfuel)                                                    = Rocket Fuel
enrichedlava                                      (advancedrocketry:enrichedlavafluid)                                             = Enriched Lava
stone                                             (tconstruct:molten_stone)                                                        = Seared Stone
obsidian                                          (tconstruct:molten_obsidian)                                                     = Molten Obsidian
clay                                              (tconstruct:molten_clay)                                                         = Molten Clay
dirt                                              (tconstruct:molten_dirt)                                                         = Liquid Dirt
emerald                                           (tconstruct:molten_emerald)                                                      = Molten Emerald
glass                                             (tconstruct:molten_glass)                                                        = Molten Glass
blueslime                                         (tconstruct:blueslime)                                                           = Liquid Blue Slime
purpleslime                                       (tconstruct:purpleslime)                                                         = Liquid Purple Slime
